city,zcta,cases_per_100k,tests_per_100k,pct_positive,deaths_per_100k,date_of_access
New York City,11423,10199.625,62485.548,16.32,452.817,2021-05-12
New York City,11426,8683.974,53785.092,16.15,282.688,2021-05-12
New York City,11427,9506.712,61244.264,15.52,275.741,2021-05-12
New York City,11428,10575.364,62488.833,16.92,425.167,2021-05-12
New York City,11429,8564.332,54625.206,15.68,335.734,2021-05-12
New York City,11432,9844.504,61466.839,16.02,525.062,2021-05-12
New York City,11433,8753.647,58206.14,15.04,388.808,2021-05-12
New York City,11434,8621.494,59935.56,14.38,401.418,2021-05-12
New York City,11435,9595.132,56995.596,16.83,373.192,2021-05-12
New York City,11436,9654.465,57787.087,16.71,324.31,2021-05-12
New York City,11691,11104.412,66892.714,16.6,680.564,2021-05-12
New York City,11692,8768.789,61671.596,14.22,499.307,2021-05-12
New York City,11693,8956.656,57867.101,15.48,307.762,2021-05-12
New York City,11694,10880.969,67653.541,16.08,461.996,2021-05-12
New York City,11697,16476.941,107232.758,15.37,353.709,2021-05-12
Philadelphia,19102,7460.657,217485.914,,,2021-05-10
Philadelphia,19103,6013.05,231440.489,,169.324,2021-05-10
Philadelphia,19104,8265.497,417363.704,,224.048,2021-05-10
Philadelphia,19106,7044.155,160443.139,,,2021-05-10
Philadelphia,19107,7689.66,157930.607,,130.8,2021-05-10
Philadelphia,19111,10614.714,104405.914,,218.754,2021-05-10
Philadelphia,19114,10859.543,100947.329,,246.305,2021-05-10
Philadelphia,19115,12476.659,123086.063,,557.347,2021-05-10
Philadelphia,19116,12732.034,117561.228,,428.814,2021-05-10
Philadelphia,19118,5319.735,114636.163,,312.385,2021-05-10
Philadelphia,19119,7232.548,134931.896,,464.671,2021-05-10
Philadelphia,19120,9428.841,88545.774,,162.031,2021-05-10
Philadelphia,19121,9807.009,128476.146,,163.656,2021-05-10
Philadelphia,19122,11243.423,128902.428,,166.159,2021-05-10
Philadelphia,19123,8495.188,160330.817,,316.985,2021-05-10
Philadelphia,19124,10374.943,91501.195,,126.593,2021-05-10
Philadelphia,19125,7740.812,140348.162,,112.186,2021-05-10
Philadelphia,19126,11382.218,135979.816,,817.578,2021-05-10
Philadelphia,19127,8784.722,168229.167,,,2021-05-10
Philadelphia,19128,7390.288,129927.744,,122.197,2021-05-10
Philadelphia,19129,7866.962,147423.503,,141.907,2021-05-10
Philadelphia,19130,7238.032,181700.07,,114.421,2021-05-10
Philadelphia,19131,8981.956,152377.971,,362.23,2021-05-10
Philadelphia,19132,9015.871,114784.244,,229.46,2021-05-10
Philadelphia,19133,10331.341,92103.904,,184.488,2021-05-10
Philadelphia,19134,9129.125,95923.462,,115.966,2021-05-10
Philadelphia,19135,9955.684,88618.85,,127.022,2021-05-10
Philadelphia,19136,15002.447,196707.061,,345.413,2021-05-10
Philadelphia,19137,10075.476,93925.961,,191.686,2021-05-10
Philadelphia,19138,8917.781,104919.734,,238.052,2021-05-10
Philadelphia,19139,8517.792,126947.863,,232.774,2021-05-10
Philadelphia,19140,10197.813,104719.314,,231.812,2021-05-10
Philadelphia,19141,8322.527,94296.994,,224.777,2021-05-10
Philadelphia,19142,9464.2,97324.438,,168.512,2021-05-10
Philadelphia,19143,8183.506,135167.879,,162.463,2021-05-10
Philadelphia,19144,8652.356,124537.417,,373.713,2021-05-10
Philadelphia,19145,11200.382,122470.251,,193.26,2021-05-10
Philadelphia,19146,7367.242,168507.204,,119.648,2021-05-10
Philadelphia,19147,6737.367,137830.11,,114.369,2021-05-10
Philadelphia,19148,10738.82,117491.724,,273.637,2021-05-10
Philadelphia,19149,9439.325,77920.937,,115.408,2021-05-10
Philadelphia,19150,9969.057,129315.216,,242.163,2021-05-10
Philadelphia,19151,8475.542,104786.612,,161.953,2021-05-10
Philadelphia,19152,12160.862,129882.625,,497.54,2021-05-10
Philadelphia,19153,8888.205,97124.404,,176.841,2021-05-10
Philadelphia,19154,11707.22,135594.621,,207.989,2021-05-10
San Jose,95002,7793.867,,,,2021-05-12
San Jose,95008,4370.901,,,,2021-05-12
San Jose,95037,6752.702,,,,2021-05-12
San Jose,95110,11360.899,,,,2021-05-12
San Jose,95111,11363.416,,,,2021-05-12
San Jose,95112,7853.378,,,,2021-05-12
San Jose,95113,13763.645,,,,2021-05-12
San Jose,95116,12268.697,,,,2021-05-12
San Jose,95117,7767.79,,,,2021-05-12
San Jose,95118,5144.814,,,,2021-05-12
San Jose,95119,6073.601,,,,2021-05-12
San Jose,95120,2434.29,,,,2021-05-12
San Jose,95121,9184.408,,,,2021-05-12
San Jose,95122,14620.196,,,,2021-05-12
San Jose,95123,6779.513,,,,2021-05-12
San Jose,95124,3467.107,,,,2021-05-12
San Jose,95125,5664.566,,,,2021-05-12
San Jose,95126,6509.971,,,,2021-05-12
San Jose,95127,11117.484,,,,2021-05-12
San Jose,95128,6912.779,,,,2021-05-12
San Jose,95129,2689.917,,,,2021-05-12
San Jose,95130,3587.995,,,,2021-05-12
San Jose,95131,4878.986,,,,2021-05-12
San Jose,95132,4970.089,,,,2021-05-12
San Jose,95133,7712.235,,,,2021-05-12
San Jose,95134,3243.722,,,,2021-05-12
San Jose,95135,2916.194,,,,2021-05-12
San Jose,95136,6714.972,,,,2021-05-12
San Jose,95138,4890.2,,,,2021-05-12
San Jose,95139,4549.776,,,,2021-05-12
San Jose,95148,6954.198,,,,2021-05-12
